,occupancy,bin1,bin2,H2S,temperature,humidity,timestamp,date,time
0,5,27.81,0.0,915,26.7,40.0,1638867600,2021-12-07,09:00:00
1,6,29.48,0.0,843,26.3,30.0,1638868200,2021-12-07,09:10:00
2,6,37.06,0.0,826,27.6,26.0,1638868800,2021-12-07,09:20:00
3,6,-1.0,0.0,837,28.0,25.0,1638869400,2021-12-07,09:30:00
4,6,-1.0,0.0,834,28.0,26.0,1638870000,2021-12-07,09:40:00
5,7,25.61,0.0,832,27.8,26.0,1638870600,2021-12-07,09:50:00
6,13,27.0,0.0,800,29.3,21.0,1638871200,2021-12-07,10:00:00
7,12,23.78,0.0,804,28.9,21.0,1638871800,2021-12-07,10:10:00
8,15,33.18,0.0,761,28.9,21.0,1638872400,2021-12-07,10:20:00
9,16,-1.0,0.0,-1,-1.0,-1.0,1638873000,2021-12-07,10:30:00
10,12,-1.0,-1.0,-1,-1.0,-1.0,1638873600,2021-12-07,10:40:00
11,14,-1.0,-1.0,-1,-1.0,-1.0,1638874200,2021-12-07,10:50:00
12,13,-1.0,-1.0,-1,-1.0,-1.0,1638874800,2021-12-07,11:00:00
13,9,-1.0,-1.0,-1,-1.0,-1.0,1638875400,2021-12-07,11:10:00
14,12,-1.0,-1.0,-1,-1.0,-1.0,1638876000,2021-12-07,11:20:00
15,15,-1.0,-1.0,-1,-1.0,-1.0,1638876700,2021-12-07,11:31:40
16,15,-1.0,-1.0,-1,-1.0,-1.0,1638877200,2021-12-07,11:40:00
17,16,-1.0,0.0,845,29.6,20.0,1638878400,2021-12-07,12:00:00
18,17,14.17,0.0,877,29.4,21.0,1638879000,2021-12-07,12:10:00
19,20,14.17,0.0,865,29.0,21.0,1638879600,2021-12-07,12:20:00
20,17,29.22,0.0,-1,-1.0,-1.0,1638880200,2021-12-07,12:30:00
21,10,-1.0,-1.0,-1,-1.0,-1.0,1638880800,2021-12-07,12:40:00
22,18,-1.0,-1.0,-1,-1.0,-1.0,1638881500,2021-12-07,12:51:40
23,18,-1.0,-1.0,-1,-1.0,-1.0,1638882000,2021-12-07,13:00:00
24,16,-1.0,-1.0,-1,-1.0,-1.0,1638882600,2021-12-07,13:10:00
25,16,-1.0,-1.0,-1,-1.0,-1.0,1638883300,2021-12-07,13:21:40
26,21,-1.0,-1.0,-1,-1.0,-1.0,1638883800,2021-12-07,13:30:00
27,19,-1.0,-1.0,-1,-1.0,-1.0,1638884400,2021-12-07,13:40:00
28,20,-1.0,-1.0,-1,-1.0,-1.0,1638885000,2021-12-07,13:50:00
29,24,-1.0,-1.0,-1,-1.0,-1.0,1638885600,2021-12-07,14:00:00
30,25,-1.0,-1.0,-1,-1.0,-1.0,1638886200,2021-12-07,14:10:00
31,23,-1.0,-1.0,-1,-1.0,-1.0,1638886800,2021-12-07,14:20:00
32,18,-1.0,-1.0,-1,-1.0,-1.0,1638887400,2021-12-07,14:30:00
33,16,-1.0,-1.0,-1,-1.0,-1.0,1638888000,2021-12-07,14:40:00
34,17,-1.0,-1.0,-1,-1.0,-1.0,1638888600,2021-12-07,14:50:00
35,23,-1.0,-1.0,-1,-1.0,-1.0,1638889200,2021-12-07,15:00:00
36,28,-1.0,-1.0,-1,-1.0,-1.0,1638889800,2021-12-07,15:10:00
37,24,-1.0,-1.0,-1,-1.0,-1.0,1638890400,2021-12-07,15:20:00
38,20,-1.0,-1.0,-1,-1.0,-1.0,1638891000,2021-12-07,15:30:00
39,24,-1.0,-1.0,-1,-1.0,-1.0,1638891600,2021-12-07,15:40:00
40,22,-1.0,-1.0,-1,-1.0,-1.0,1638892200,2021-12-07,15:50:00
41,20,-1.0,-1.0,-1,-1.0,-1.0,1638892800,2021-12-07,16:00:00
42,20,-1.0,-1.0,-1,-1.0,-1.0,1638893400,2021-12-07,16:10:00
43,23,-1.0,-1.0,-1,-1.0,-1.0,1638894000,2021-12-07,16:20:00
44,19,-1.0,-1.0,-1,-1.0,-1.0,1638894600,2021-12-07,16:30:00
45,19,-1.0,29.85,-1,-1.0,-1.0,1638895200,2021-12-07,16:40:00
46,22,-1.0,31.15,975,29.8,24.0,1638895800,2021-12-07,16:50:00
47,21,-1.0,4.26,993,29.4,25.0,1638896400,2021-12-07,17:00:00
48,21,-1.0,4.26,976,29.0,25.0,1638897000,2021-12-07,17:10:00
49,17,-1.0,4.26,-1,-1.0,-1.0,1638897600,2021-12-07,17:20:00
50,18,-1.0,-1.0,-1,-1.0,-1.0,1638898200,2021-12-07,17:30:00
51,15,-1.0,-1.0,-1,-1.0,-1.0,1638898800,2021-12-07,17:40:00
52,16,-1.0,-1.0,-1,-1.0,-1.0,1638899400,2021-12-07,17:50:00
53,12,-1.0,-1.0,-1,-1.0,-1.0,1638900000,2021-12-07,18:00:00
54,14,-1.0,-1.0,-1,-1.0,-1.0,1638900600,2021-12-07,18:10:00
55,13,-1.0,-1.0,-1,-1.0,-1.0,1638901200,2021-12-07,18:20:00
56,10,-1.0,-1.0,-1,-1.0,-1.0,1638901800,2021-12-07,18:30:00
57,12,-1.0,-1.0,-1,-1.0,-1.0,1638902400,2021-12-07,18:40:00
58,12,-1.0,-1.0,-1,-1.0,-1.0,1638903000,2021-12-07,18:50:00
59,13,-1.0,-1.0,-1,-1.0,-1.0,1638903600,2021-12-07,19:00:00
60,13,-1.0,-1.0,-1,-1.0,-1.0,1638904200,2021-12-07,19:10:00
61,12,-1.0,-1.0,-1,-1.0,-1.0,1638904800,2021-12-07,19:20:00
62,7,-1.0,-1.0,-1,-1.0,-1.0,1638905400,2021-12-07,19:30:00
63,8,-1.0,-1.0,-1,-1.0,-1.0,1638906000,2021-12-07,19:40:00
64,8,-1.0,-1.0,-1,-1.0,-1.0,1638906600,2021-12-07,19:50:00
65,7,-1.0,-1.0,-1,-1.0,-1.0,1638907200,2021-12-07,20:00:00
66,6,15.38,0.0,1072,29.2,24.0,1638907800,2021-12-07,20:10:00
67,4,15.38,0.0,1087,29.1,24.0,1638908400,2021-12-07,20:20:00
68,3,14.79,0.0,1066,28.3,25.0,1638909000,2021-12-07,20:30:00
69,1,-1.0,-1.0,-1,-1.0,-1.0,1638909600,2021-12-07,20:40:00
70,2,-1.0,-1.0,-1,-1.0,-1.0,1638910200,2021-12-07,20:50:00
71,2,-1.0,-1.0,-1,-1.0,-1.0,1638910800,2021-12-07,21:00:00
72,2,-1.0,-1.0,-1,-1.0,-1.0,1638911400,2021-12-07,21:10:00
73,2,-1.0,-1.0,-1,-1.0,-1.0,1638912000,2021-12-07,21:20:00
74,1,-1.0,-1.0,-1,-1.0,-1.0,1638912600,2021-12-07,21:30:00
75,1,-1.0,-1.0,-1,-1.0,-1.0,1638913200,2021-12-07,21:40:00
76,1,-1.0,-1.0,-1,-1.0,-1.0,1638913800,2021-12-07,21:50:00
77,1,-1.0,-1.0,-1,-1.0,-1.0,1638914400,2021-12-07,22:00:00
78,0,-1.0,-1.0,-1,-1.0,-1.0,1638915000,2021-12-07,22:10:00
79,0,-1.0,-1.0,-1,-1.0,-1.0,1638915600,2021-12-07,22:20:00
80,0,-1.0,-1.0,-1,-1.0,-1.0,1638916200,2021-12-07,22:30:00
81,0,-1.0,-1.0,-1,-1.0,-1.0,1638916800,2021-12-07,22:40:00
82,-1,-1.0,-1.0,-1,-1.0,-1.0,1638917400,2021-12-07,22:50:00
83,-1,-1.0,-1.0,-1,-1.0,-1.0,1638918000,2021-12-07,23:00:00
84,0,-1.0,-1.0,-1,-1.0,-1.0,1638918600,2021-12-07,23:10:00
85,0,-1.0,-1.0,-1,-1.0,-1.0,1638919200,2021-12-07,23:20:00
86,0,-1.0,-1.0,-1,-1.0,-1.0,1638919800,2021-12-07,23:30:00
87,0,-1.0,-1.0,-1,-1.0,-1.0,1638920400,2021-12-07,23:40:00
