,occupancy,humidity,temperature,date,time,timestamp
0,0.0,-1.0,-1.0,2021-12-08,00:00:00,1638921600.0
1,0.0,-1.0,-1.0,2021-12-08,02:00:00,1638928800.0
2,0.0,-1.0,-1.0,2021-12-08,04:00:00,1638936000.0
3,0.0,-1.0,-1.0,2021-12-08,06:00:00,1638943200.0
4,0.0,-1.0,-1.0,2021-12-08,08:00:00,1638950400.0
5,2.0,17.0,26.4,2021-12-08,10:00:00,1638957600.0
6,13.0,15.0,27.2,2021-12-08,12:00:00,1638964800.0
7,18.0,17.0,27.5,2021-12-08,14:00:00,1638972000.0
8,22.0,16.0,28.1,2021-12-08,16:00:00,1638979200.0
9,16.0,15.0,27.5,2021-12-08,18:00:00,1638986400.0
10,9.0,15.0,27.5,2021-12-08,20:00:00,1638993600.0
11,7.0,15.0,27.3,2021-12-08,22:00:00,1639000800.0
12,0.0,15.0,27.0,2021-12-09,00:00:00,1639008000.0
13,0.0,-1.0,-1.0,2021-12-09,02:00:00,1639015200.0
14,0.0,-1.0,-1.0,2021-12-09,04:00:00,1639022400.0
15,0.0,-1.0,-1.0,2021-12-09,06:00:00,1639029600.0
16,0.0,-1.0,-1.0,2021-12-09,08:00:00,1639036800.0
17,6.0,16.0,27.3,2021-12-09,10:00:00,1639044000.0
18,9.0,16.0,27.7,2021-12-09,12:00:00,1639051200.0
19,14.0,17.0,28.1,2021-12-09,14:00:00,1639058400.0
20,22.0,17.0,28.3,2021-12-09,16:00:00,1639065600.0
21,18.0,18.0,28.2,2021-12-09,18:00:00,1639072800.0
22,13.0,18.0,27.8,2021-12-09,20:00:00,1639080000.0
23,7.0,19.0,27.3,2021-12-09,22:00:00,1639087200.0
24,0.0,-1.0,-1.0,2021-12-10,00:00:00,1639094400.0
25,0.0,-1.0,-1.0,2021-12-10,02:00:00,1639101600.0
26,0.0,-1.0,-1.0,2021-12-10,04:00:00,1639108800.0
27,0.0,-1.0,-1.0,2021-12-10,06:00:00,1639116000.0
28,0.0,-1.0,-1.0,2021-12-10,08:00:00,1639123200.0
29,7.0,13.0,28.1,2021-12-10,10:00:00,1639130400.0
30,12.0,15.0,26.6,2021-12-10,12:00:00,1639137600.0
31,20.0,16.0,26.7,2021-12-10,14:00:00,1639144800.0
32,19.0,17.0,27.2,2021-12-10,16:00:00,1639152000.0
33,19.0,15.0,27.5,2021-12-10,18:00:00,1639159200.0
34,6.0,16.0,26.7,2021-12-10,20:00:00,1639166400.0
35,3.0,-1.0,-1.0,2021-12-10,22:00:00,1639173600.0
36,0.0,-1.0,-1.0,2021-12-11,00:00:00,1639180800.0
37,0.0,-1.0,-1.0,2021-12-11,02:00:00,1639188000.0
38,0.0,-1.0,-1.0,2021-12-11,04:00:00,1639195200.0
39,0.0,-1.0,-1.0,2021-12-11,06:00:00,1639202400.0
40,0.0,-1.0,-1.0,2021-12-11,08:00:00,1639209600.0
41,6.0,-1.0,-1.0,2021-12-11,10:00:00,1639216800.0
42,10.0,-1.0,-1.0,2021-12-11,12:00:00,1639224000.0
43,12.0,-1.0,-1.0,2021-12-11,14:00:00,1639231200.0
44,6.0,-1.0,-1.0,2021-12-11,16:00:00,1639238400.0
45,6.0,-1.0,-1.0,2021-12-11,18:00:00,1639245600.0
46,12.0,-1.0,-1.0,2021-12-11,20:00:00,1639252800.0
47,8.0,-1.0,-1.0,2021-12-11,22:00:00,1639260000.0
48,2.0,-1.0,-1.0,2021-12-12,00:00:00,1639267200.0
49,0.0,-1.0,-1.0,2021-12-12,02:00:00,1639274400.0
50,0.0,-1.0,-1.0,2021-12-12,04:00:00,1639281600.0
51,0.0,-1.0,-1.0,2021-12-12,06:00:00,1639288800.0
52,0.0,-1.0,-1.0,2021-12-12,08:00:00,1639296000.0
53,2.0,-1.0,-1.0,2021-12-12,10:00:00,1639303200.0
54,8.0,29.0,25.8,2021-12-12,12:00:00,1639310400.0
55,9.0,-1.0,-1.0,2021-12-12,14:00:00,1639317600.0
56,9.0,-1.0,-1.0,2021-12-12,16:00:00,1639324800.0
57,8.0,-1.0,-1.0,2021-12-12,18:00:00,1639332000.0
58,6.0,-1.0,-1.0,2021-12-12,20:00:00,1639339200.0
59,5.0,-1.0,-1.0,2021-12-12,22:00:00,1639346400.0
60,1.0,-1.0,-1.0,2021-12-13,00:00:00,1639353600.0
